S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.408.916;-33.013.261;48.5;0;0;249;undefined;undefined;-19.875;21.75;0.875;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 09:40
2;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.408.916;-33.013.261;48.5;0;0;265;Still;100%;8.245.630.264.282.220;-11.492.167.711.257.900;50.469.770.431.518.500;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 09:40
3;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.408.392;-330.132.617;48.5;0;0;328;Still;100%;211.875;12.5;-649.375;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 09:42
4;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.408.657;-330.132.443;48.5;0;0;246;Still;100%;835.097.599.029.541;0.31603461503982544;4.501.099.109.649.650;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 09:48
5;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.408.864;-330.132.399;48.5;0.009248399175703526;0;244;Still;100%;8.303.091.049.194.330;0.028730420395731926;4.836.287.498.474.120;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 09:48
6;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.408.705;-330.132.272;48.5;0;0;241;Still;100%;-18.125;158.125;-12.875;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 09:48
7;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.409.337;-33.013.329;48.5;0;0;259;Still;100%;21.739.351.749.420.100;-10.630.255.937.576.200;8.619.126.319.885.250;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 09:53
8;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.804;-330.135.686;39;0;0;94;Still;100%;4.223.371.982.574.460;-0.8619126081466675;7.862.558.364.868.160;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 09:56
9;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.812;-330.137.289;39;0;0;100;Still;100%;-2.920.926.094.055.170;8.868.123.054.504.390;-3.399.766.445.159.910;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:29
10;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.817;-330.137.323;39;0;0;103;Still;100%;-2.940.079.689.025.870;8.877.699.851.989.740;-3.380.612.850.189.200;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:29
11;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.773;-330.137.207;39;0;0;101;Still;100%;-14;34.25;15.25;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:29
12;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.773;-330.137.207;39;0;0;92;Still;100%;17.812.861.204.147.300;0.8619126081466675;8.935.160.636.901.850;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:29
13;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;-LqLxYTC2shmtOGSmWA-;-715.412.806;-330.137.256;3.879.999.923.706.050;0;0;92;Still;100%;17.812.861.204.147.300;0.8619126081466675;8.935.160.636.901.850;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:29
14;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.806;-330.137.256;3.879.999.923.706.050;0;0;95;Still;100%;-5.375;233.125;126.875;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:51
15;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.806;-330.137.256;3.879.999.923.706.050;0;0;97;Still;100%;-53.125;204.375;149.375;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:51
16;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.807;-330.137.276;39;0;0;92;Still;100%;-38.125;218.125;12.625;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:51
17;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-71.541.279;-330.137.265;3.879.999.923.706.050;0;0;92;Still;100%;-38.125;218.125;11.125;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:51
18;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-71.541.279;-330.137.265;3.879.999.923.706.050;0;0;57;Still;100%;180.625;-283.125;23.75;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 10:55
19;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-71.541.279;-330.137.265;3.879.999.923.706.050;0;0;87;Still;100%;-0.019153613597154617;-0.009576806798577309;9.892.841.339.111.320;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:28
20;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.738;-330.136.897;39;0;0;49;Still;100%;4.481.945.514.678.950;13.120.225.667.953.400;7.623.138.427.734.370;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:28
21;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.765;-330.136.988;39;0;0;43;Still;100%;5.238.513.469.696.040;17.908.629.179.000.800;8.101.978.302.001.950;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:28
22;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;-LqMA51-788ofm3vIVHW;-715.412.765;-330.136.988;39;0;0;43;Still;100%;32.5;-21.5;10.75;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:28
23;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.905;-330.136.855;39;0;0;43;Still;100%;32.5;-21.5;10.75;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:28
24;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;-LqMA51J3x9-3bs-ZILn;-715.412.905;-330.136.855;39;0;0;44;Still;100%;294.375;-214.375;8.5;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:28
25;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.659;-330.136.177;39;0;0;79;Still;100%;0.5937620401382446;6.129.156.112.670.890;-7.709.329.605.102.530;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:35
26;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.659;-330.136.177;39;0;0;80;Still;100%;2.25;26;65.625;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:35
27;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.659;-330.136.177;39;0;0;100;Still;100%;-7.875;236.875;12.25;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:55
28;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.832;-330.137.337;3.879.999.923.706.050;0;0;99;Still;100%;-7.875;25.125;12.25;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:55
29;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.809;-33.013.726;39;0;0;106;Still;100%;-101.875;244.375;10.75;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:55
30;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.809;-33.013.726;39;0;0;102;Still;100%;-8.625;244.375;12.25;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 11:55
31;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.743;-330.136.782;39;0;0;58;Still;100%;4.041.412.353.515.620;11.109.095.811.843.800;9.481.039.047.241.210;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 12:10
32;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.743;-330.136.782;39;0;0;61;Still;100%;5.008.669.853.210.440;0.7565677165985107;10.256.759.643.554.600;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 12:10
33;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.776;-330.137.221;39;0;0;61;Still;100%;5.008.669.853.210.440;0.7565677165985107;10.256.759.643.554.600;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 12:10
34;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.835;-330.137.335;3.879.999.923.706.050;0;0;85;Still;100%;-4.290.409.564.971.920;878.193.187.713.623;-19.249.382.019.042.900;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 12:30
35;v48G7E6RWdeA1xL8Z7GFFdRX0sj1;#¿NOMBRE?;-715.412.801;-330.137.286;39;0;0;86;Still;100%;-43.191.399.574.279.700;8.877.699.851.989.740;-1.867.477.297.782.890;undefined;99.0;99.0;undefined;vie.; 4 oct. 2019; 12:30
